saleid,productid,itemsize,quantity,saleprice
191434,137,10,1,68.25
191434,254,6.5,2,40.58
191434,275,10,1,37.19
191434,591,8.5,1,31.01
191434,1006,11,1,68.25
191434,1358,9.5,1,52.24
191435,225,8.5,1,28.79
191435,279,7,1,30.02
191435,326,6.5,2,19.79
191435,502,8,1,47.51
191435,630,10.5,1,42.31
191435,915,11.5,1,77.6
191435,1321,9,1,30.71
191436,256,6,1,21.77
191436,366,11.5,1,63.7
191436,868,7.5,2,68.82
191437,696,12,1,61.1
191438,1425,6,1,47.51
191439,915,11.5,1,73.6
191440,192,11,1,35.09
191440,355,9.5,1,36.89
191440,496,10.5,1,61.1
191440,599,8,1,41.35
191440,1408,6.5,1,53.75
191441,56,11.5,1,84.48
191441,274,11.5,1,88.2
191441,293,12,1,51.7
191441,1305,7,1,13.99
191441,1399,10,1,57.59
191442,915,11.5,1,80
191443,811,12,1,58.19
191444,276,11.5,1,66.5
191444,696,12,1,63.7
191444,823,12,1,125.58
191444,942,6,2,44.09
191444,989,11.5,1,102.3
191444,1043,6,2,17.85
191445,136,9,1,85.5
191445,408,9.5,1,100
191445,735,11.5,1,45.99
191445,915,11.5,1,72
191445,916,11.5,2,67.5
191445,1055,9.5,1,41.57
191446,915,11.5,2,80
191447,28,11,1,101.2
191447,236,7.5,1,14.55
191447,384,9,2,10.22
191447,923,11.5,1,33.11
191447,942,6,2,42.29
191447,1350,11.5,2,68.6
191448,192,10.5,1,35.09
191449,387,12,1,50.04
191449,416,11,1,19.79
191449,417,11,2,29.99
191449,609,12,1,53.99
191449,1265,10.5,1,31.67
191449,1291,11.5,1,63.7
191450,322,11,1,34.03
191450,702,8.5,1,36.62
191450,708,8,1,22.31
191450,789,7,1,40
191450,915,8.5,1,74.4
191451,706,10,2,21.15
191452,283,7.5,1,27.59
191453,253,8.5,1,30.93
191453,276,9.5,1,70
191453,404,11,1,21.11
191453,465,7.5,1,34.95
191453,615,10,1,43.19
191453,1052,9.5,1,55.2
191455,253,7.5,1,30.93
191455,417,9.5,1,29.09
191455,1168,8.5,1,64.16
191455,1211,10.5,1,63.7
191455,1255,12,1,68.15
191456,142,8,1,53.99
191456,161,6,1,30.06
191457,1121,7,1,37.71
191458,43,12,1,33.95
191458,241,6.5,1,98.01
191458,331,9.5,1,49
191458,844,11.5,1,48.01
191458,915,11.5,1,75.2
191458,1090,7,1,59.15
191458,1201,10,1,21.84
191459,192,12,1,38.99
191460,631,8.5,1,21.99
191461,185,8.5,2,11.87
191461,374,8,1,78.19
191461,402,11.5,1,32.63
191461,542,8.5,1,19.79
191461,922,9.5,1,39.76
191461,1171,12,1,38.53
191461,1205,11,2,62.99
191462,943,11,1,28.99
191462,1005,11.5,1,74.4
191462,1155,8,1,29.75
191462,1244,5.5,1,16.31
191463,20,9,1,55
191464,1084,11.5,2,74.68
191465,1420,11.5,1,34.29
191466,414,5,1,26.03
191467,133,6.5,1,15.67
191468,621,12,1,12.99
191469,245,11,1,58.27
191469,459,7,1,21.55
191469,1367,7,1,17.99
191470,272,9.5,1,81
191470,322,10.5,1,33.29
191470,667,7.5,1,24.17
191470,1156,7.5,2,34.99
191471,241,8.5,2,95.04
191471,338,11,1,17.09
191471,1408,11,1,50.39
191472,41,9,1,32.2
191472,110,8,1,23.51
191472,127,6.5,1,27.71
191472,136,10,1,95
191472,489,6.5,1,29.44
191472,828,6.5,1,17.09
191472,976,8,1,49.67
191473,9,11,1,68.2
191473,74,10,2,71.43
191473,274,11.5,1,82.8
191473,1040,9,1,11.27
191473,1215,9,1,68.6
191473,1264,9.5,1,58.23
191474,474,9,1,23
191475,417,9,2,28.79
191475,847,11,1,25.99
191475,975,9,1,67.2
191476,97,9.5,1,35.99
191477,92,12,2,22.99
191477,298,9,1,55.8
191477,1262,9,1,43.7
191478,50,10,1,56.25
191478,222,9.5,1,55.2
191478,1026,12.5,1,100.1
191478,1194,12,1,65.52
191478,1368,5,1,20.78
191479,114,10,2,19.39
191480,293,12,1,53.35
191480,444,9.5,1,63.05
191480,638,8.5,1,24.99
191480,1106,12,1,65
191480,1155,8.5,1,28.2
191480,1335,12,1,39.89
191481,530,11.5,1,71.25
191482,74,9,1,75.99
191482,172,8,1,17.66
191482,494,11.5,2,59.39
191482,725,10,1,23.27
191482,843,10,1,36
191482,1143,12,2,117.6
191482,1280,12,2,114.65
191483,21,7.5,2,82.8
191483,870,11.5,1,80.08
191483,1103,10,1,20.01
191483,1292,12,1,78
191483,1399,11.5,1,55.19
191484,1361,6.5,1,45.07
191485,767,10,1,63.7
191486,75,9.5,1,141.29
191487,20,8.5,1,49.5
191487,281,9,1,91
191487,696,10.5,1,61.75
191487,1255,10,1,67.44
191487,1280,12,1,108.8
191488,100,8,1,26.99
191488,634,8.5,2,13.94
191489,1067,8.5,2,65.99
191490,218,10.5,1,14.71
191491,63,11.5,1,116.15
191491,250,12,1,57.65
191491,881,8,1,86.39
191491,1068,10,2,46.99
191491,1103,10.5,1,19.79
191492,345,11.5,1,67.9
191492,377,10.5,1,58
191492,504,7,1,49.91
191492,1086,10.5,1,70
191492,1135,11,1,75.19
191492,1213,11.5,1,67.9
191492,1414,8,1,73.6
191493,97,9.5,1,37.59
191493,266,9,1,19.94
191493,417,9.5,1,29.39
191493,559,11,2,68.24
191493,906,10,1,36.8
191493,1071,8,2,27.89
191494,658,8,1,35.48
191495,1192,11,1,31.49
191496,374,9.5,2,80.74
191496,392,5.5,2,33.99
191496,822,10,2,32.97
191496,943,10,1,28.12
191496,1186,8,1,67.2
191497,352,12,1,77.35
191498,131,8.5,1,86.24
191498,284,5.5,1,32.99
191498,351,12,1,81
191498,377,11.5,1,52.2
191498,1040,8,1,11.99
191498,1400,9.5,1,71.99
191499,1335,11,1,38.63
191500,681,9,1,39.6
191500,929,11.5,1,52.78
191500,1174,10.5,1,52.77
191501,281,12,1,98
191501,360,10,2,110.4
191501,691,6.5,1,36.25
191501,886,10.5,1,52.77
191502,1266,12,1,28.79
191503,300,9.5,1,50.21
191503,420,10,1,58.5
191503,915,10,1,76
191503,1095,9,1,18.6
191503,1256,10,1,32.19
191503,1353,10.5,1,58.19
191504,533,10.5,1,21.61
191504,872,12,1,39.48
191504,906,10,1,38.4
191504,1001,9.5,1,61.1
191505,476,11,1,22.31
191506,9,10.5,1,68.2
191507,51,10,1,54.99
191507,136,10.5,1,86.45
191507,1185,8,1,80
191507,1315,10.5,1,43.19
191507,1424,8,1,41.27
191508,848,6.5,1,61.44
191509,217,11.5,2,63.04
191509,361,11,2,110.99
191509,775,9.5,1,57.33
191509,1101,12,1,104.5
191510,497,9.5,1,55.79
191510,847,9,1,23.91
191510,908,10.5,1,79.9
191510,915,10,1,73.6
191510,1176,9.5,2,79.05
191510,1413,10,1,73.49
191511,1434,11.5,1,72.8
191512,386,10,1,35.88
191513,861,10,1,105
191514,93,9.5,1,49.99
191514,658,6.5,1,35.48
191514,1256,9,1,32.54
191515,1090,6.5,1,65
191515,1226,9.5,1,68
191515,1400,9,2,71.99
191516,159,10,1,85.36
191517,145,10.5,1,40.03
191518,241,7.5,1,91.08
191518,539,5.5,1,74.99
191518,638,8.5,1,24.99
191518,924,10.5,1,49.49
191519,1090,7.5,1,59.15
191520,973,8,1,46.55
191521,99,7,1,18.99
191521,332,10.5,2,84.15
191521,386,11.5,2,34.77
191521,530,12,1,73.5
191521,559,8.5,2,74.99
191521,1292,11.5,1,78
191522,230,8,1,44.54
191523,1390,5.5,1,38.99
191524,319,9.5,1,19.59
191524,377,12,1,53.36
191524,388,11,1,32.75
191524,539,9.5,1,74.24
191524,651,7.5,1,47.49
191524,1087,8,2,62.4
191524,1353,10.5,1,56.39
191525,360,11.5,1,120
191525,881,8,1,84.59
191525,916,10.5,1,75
191526,137,11.5,1,72.75
191526,291,8,1,23.99
191526,437,10,2,72
191526,1092,9,1,26.67
191526,1234,6,1,39.12
191526,1382,5,1,65.95
191527,178,11,2,46.79
191527,354,11.5,1,61.75
191527,432,11.5,1,58.5
191527,802,7,1,29.09
191527,1146,5.5,1,65.27
191528,436,11.5,1,69
191529,242,7.5,1,32.33
191529,622,9.5,1,49.49
191529,926,9.5,1,55.68
191529,942,8,1,40.94
191529,1272,9,1,39.2
191530,232,11.5,1,49.5
191530,425,9.5,1,68.4
191530,912,12,1,59.8
191531,1200,7,1,54.6
191532,442,11.5,1,46.4
191532,735,9.5,1,49.99
191532,787,11,1,19.39
191532,916,8.5,1,68.25
191532,1085,6,1,44.64
191532,1126,9.5,1,33.99
191532,1181,10.5,1,42.77
191533,1280,8,1,114.65
191534,93,12,2,46.49
191535,1205,9,1,57.95
191536,609,11.5,2,56.39
191537,1026,12.5,1,108.9
191538,735,11,1,45.49
191539,292,6,1,22.49
191539,340,12,1,24.43
191539,681,10,1,39.2
191539,915,8.5,1,72.8
191539,959,8.5,1,46.49
191540,1361,8.5,1,45.56
191541,59,12,1,90
191541,180,6.5,1,55.79
191541,322,10.5,1,36.99
191541,787,8,1,18.59
191541,926,11.5,2,58
191541,1317,9.5,1,34.19
191542,1181,12,1,41.85
191543,267,12,1,17.28
191543,293,12,1,55
191543,392,5.5,1,33.65
191543,902,11,2,60.13
191543,1206,12.5,1,53.69
191543,1435,9,1,61.75
191544,1126,9.5,1,33.99
191544,1174,8.5,1,52.77
191544,1223,9.5,1,66.99
191544,1319,7,1,60.99
191545,25,9.5,1,91
191545,308,9.5,1,60
191545,416,8.5,1,21.33
191545,679,6.5,1,38.21
191545,730,8,1,37.04
191545,759,7,1,15.29
191545,1111,8,1,47.93
191546,916,11.5,1,72
191547,151,10,1,39.55
191547,219,7.5,1,23.03
191547,599,10.5,1,40.91
191547,702,8,1,36.25
191547,954,11,1,28.19
191547,1005,12,1,77.6
191548,234,10.5,1,63.7
191549,352,11,1,78.2
191550,853,11.5,1,87.36
191550,868,10,1,69.56
191550,940,9.5,1,40.94
191550,1094,10,1,22.74
191551,861,11,2,105
191552,426,10.5,1,57.81
191553,250,11.5,1,61.99
191554,720,12,1,62.09
191554,789,7,1,40
191554,840,6.5,2,54.99
191555,75,11,1,150.71
191555,417,12,1,29.39
191555,696,9,1,59.15
191555,1134,10.5,1,74.61
191556,225,8.5,1,27.89
191556,391,9,1,37.61
191556,435,8,1,78.2
191556,927,10.5,1,57.6
191556,1270,11,1,60.15
191556,1345,6.5,1,15.29
191557,1195,9.5,1,86.99
191558,1332,9.5,1,94.5
191559,137,12,1,71.25
191559,857,12,1,158.1
191559,1021,11,1,78.4
191559,1074,11,1,52.43
