productid,itemsize,purchaseid,quantity,purchaseprice
20,11.5,8954,2,27.5
21,7,8352,1,45
21,7.5,7945,2,45
21,7.5,8125,1,45
21,7.5,8818,1,45
21,8,8497,1,45
21,8,8726,1,45
21,8.5,8305,1,45
21,8.5,8448,1,45
21,8.5,8590,1,45
21,9,8399,1,45
21,9,8541,1,45
21,9.5,7902,2,45
21,9.5,8305,1,45
21,9.5,8497,1,45
21,10,7902,1,45
21,10,8541,1,45
21,10.5,7991,2,45
21,10.5,8125,1,45
21,10.5,8214,1,45
21,10.5,8259,1,45
21,10.5,8352,1,45
21,10.5,8448,2,45
21,10.5,8681,1,45
21,10.5,8726,1,45
21,10.5,8818,2,45
21,10.5,8910,2,45
21,10.5,8954,1,45
21,11,8125,1,45
21,11,8497,1,45
21,11,8590,1,45
21,11,8818,1,45
21,11.5,8078,1,45
21,11.5,8168,1,45
21,11.5,8259,3,45
21,11.5,8305,1,45
21,11.5,8399,2,45
21,11.5,8726,1,45
21,11.5,8863,1,45
21,12,8125,1,45
21,12,8399,2,45
22,5.5,8125,1,42.5
22,5.5,8305,1,42.5
22,6,8637,1,42.5
22,7,8954,1,42.5
22,8,8681,1,42.5
22,8,8863,1,42.5
22,9.5,8214,1,42.5
22,11,8078,1,42.5
23,8,8305,1,32.5
23,8,8448,1,32.5
23,9.5,8214,2,32.5
23,9.5,8305,1,32.5
23,10,8775,1,32.5
23,10.5,7991,1,32.5
23,11,8637,2,32.5
23,11.5,7902,1,32.5
23,11.5,8168,1,32.5
23,11.5,8352,1,32.5
23,11.5,8681,2,32.5
23,11.5,8726,1,32.5
23,11.5,8863,2,32.5
23,12,7902,1,32.5
23,12,8259,2,32.5
23,12,8818,1,32.5
24,6,8497,1,40
24,8,7991,1,40
24,10,8448,1,40
25,7.5,8863,1,50
25,9.5,7991,1,50
25,10,8035,2,50
25,10,8125,1,50
25,10,8168,1,50
25,10.5,8168,1,50
25,10.5,8497,1,50
25,11,8399,1,50
25,11,8681,1,50
26,6.5,7902,1,55
26,6.5,8590,1,55
26,6.5,8726,2,55
26,8,8125,1,55
26,8.5,8168,1,55
26,9,8775,1,55
26,9.5,8818,1,55
26,10.5,8726,1,55
26,11,8541,1,55
27,6,8259,1,32.5
27,6,8910,1,32.5
27,6.5,8497,2,32.5
27,6.5,8775,1,32.5
27,8,8035,1,32.5
27,8,8910,1,32.5
27,8.5,8125,1,32.5
27,8.5,8863,1,32.5
27,9.5,8078,1,32.5
27,9.5,8448,1,32.5
27,9.5,8910,2,32.5
27,10,8399,1,32.5
27,10,8863,2,32.5
27,10.5,8305,2,32.5
27,10.5,8681,1,32.5
27,11,8352,1,32.5
28,9.5,8681,1,55
28,10,8726,2,55
28,10.5,7991,1,55
28,11,7945,1,55
28,11,8035,1,55
29,8,8541,1,30
29,8,8681,1,30
29,8,8726,1,30
29,8.5,8214,2,30
29,8.5,8305,2,30
29,8.5,8818,1,30
29,9.5,8305,2,30
29,10.5,8214,2,30
29,10.5,8497,2,30
29,10.5,8590,1,30
29,10.5,8681,1,30
29,12,8035,1,30
30,8,8214,2,27.5
30,8,8726,2,27.5
30,8.5,8497,1,27.5
30,9.5,8726,1,27.5
30,10,8818,2,27.5
30,10.5,8078,1,27.5
30,11,8497,1,27.5
30,11.5,8078,1,27.5
30,11.5,8590,1,27.5
31,9.5,7902,1,32.5
31,9.5,8035,1,32.5
31,9.5,8448,1,32.5
31,9.5,8497,1,32.5
31,9.5,8863,1,32.5
31,9.5,8910,1,32.5
33,7,8541,1,60
33,7.5,8305,2,60
33,8,8541,1,60
33,8.5,8681,1,60
33,9.5,8035,1,60
33,9.5,8214,1,60
33,9.5,8726,2,60
33,9.5,8818,1,60
33,9.5,8863,1,60
33,10,7902,1,60
33,10,8863,1,60
33,10.5,8035,1,60
33,10.5,8214,2,60
33,10.5,8954,1,60
33,11,8035,1,60
33,11.5,8078,1,60
33,11.5,8775,1,60
33,11.5,8910,1,60
33,11.5,8954,1,60
33,12,8214,2,60
33,12,8541,2,60
33,12,8954,1,60
34,10,8399,1,80
34,10,8448,1,80
34,10.5,8497,1,80
34,10.5,8954,1,80
35,9,8448,1,15
35,9,8541,1,15
35,9,8954,1,15
35,11,8637,1,15
35,11,8818,2,15
35,12,8214,1,15
35,12,8259,1,15
35,12,8399,1,15
35,12,8541,1,15
35,12,8637,1,15
35,12,8726,1,15
36,7,8229,1,23
36,7.5,7915,1,23
36,7.5,8182,1,23
36,7.5,8366,1,23
36,8,8366,1,23
36,8,8511,1,23
36,8,8831,1,23
36,8.5,8271,1,23
36,8.5,8877,2,23
36,9,8182,1,23
36,10,7915,2,23
36,10,8318,1,23
36,10,8463,1,23
36,10,8603,1,23
37,8,8060,1,12.99
37,9.5,8106,1,12.99
37,9.5,8426,1,12.99
37,9.5,8753,1,12.99
37,10.5,8332,1,12.99
37,10.5,8706,1,12.99
38,11.5,8818,1,28.5
38,11.5,8993,1,28.5
40,10,8863,1,17.5
40,11,8818,1,17.5
40,12,8035,1,17.5
40,12,8448,1,17.5
41,8,8168,1,17.5
41,9,7945,1,17.5
42,10,8078,1,15
42,10,8448,1,15
42,11,8637,1,15
42,11,8681,1,15
42,12,8125,1,15
42,12,8214,2,15
42,12,8448,1,15
42,12,8681,1,15
42,12,8910,1,15
42,12,8954,1,15
43,9,7902,1,17.5
43,10,8305,1,17.5
43,10,8352,1,17.5
43,10,8681,1,17.5
43,11,8259,1,17.5
43,11,8305,1,17.5
43,12,7945,1,17.5
43,12,8259,1,17.5
43,12,8863,1,17.5
44,6,8448,1,12.49
44,7,8399,1,12.49
46,8,8220,1,15.5
46,9.5,8173,3,15.5
46,9.5,8404,1,15.5
46,10,8731,2,15.5
46,10.5,8454,2,15.5
46,12,8173,1,15.5
46,12,8454,2,15.5
47,9.5,8248,1,53
47,10,8434,2,53
47,10,8850,2,53
49,6.5,8603,1,21.5
49,7.5,8091,1,21.5
49,7.5,8554,2,21.5
49,8.5,8694,2,21.5
50,7,8609,1,29
50,7,8746,1,29
50,7,8884,1,29
50,7.5,8838,1,29
50,8,7922,1,29
50,8,8470,1,29
50,8,8746,1,29
50,8.5,8009,1,29
50,8.5,8699,1,29
50,9.5,8236,1,29
50,10,7967,1,29
50,10,8279,1,29
50,10,8420,1,29
50,10.5,7922,1,29
50,10.5,8009,1,29
50,10.5,8145,1,29
50,10.5,8236,2,29
50,10.5,8372,1,29
50,10.5,8420,2,29
50,10.5,8971,4,29
50,11,8326,1,29
50,11,8656,2,29
50,11.5,8279,1,29
50,11.5,8326,1,29
50,11.5,8609,1,29
50,12,8145,2,29
50,12,8188,1,29
50,12,8326,1,29
51,7.5,8971,1,27.5
51,8.5,8236,1,27.5
51,10,7967,1,27.5
51,10.5,8931,2,27.5
52,9,8656,1,31
52,10.5,8054,1,31
52,10.5,8420,1,31
52,10.5,8470,1,31
52,10.5,8931,2,31
52,12,7967,1,31
52,12,8236,1,31
52,12,8517,1,31
53,6,8091,1,10.49
53,6.5,9002,1,10.49
53,8,8603,1,10.49
53,8.5,8511,1,10.49
53,8.5,8649,1,10.49
53,8.5,8694,2,10.49
53,9,8091,1,10.49
53,10,8786,1,10.49
54,8.5,8044,1,50
54,8.5,8457,1,50
54,9,8781,1,50
54,9.5,8548,2,50
54,9.5,8688,1,50
54,10,8781,1,50
54,10.5,7953,1,50
54,10.5,8044,2,50
54,10.5,8688,1,50
54,11,8688,2,50
54,11,8781,1,50
54,11,8827,1,50
54,11.5,8176,1,50
54,11.5,8505,2,50
54,11.5,8781,1,50
54,12,8133,1,50
54,12,8548,2,50
54,12,8734,1,50
54,12,8962,1,50
55,7.5,8085,1,47
55,7.5,8827,1,47
56,7,8133,1,44
56,7,8223,1,44
56,7,8505,1,44
56,7.5,8223,2,44
56,7.5,8734,1,44
56,8.5,8548,1,44
56,8.5,8962,2,44
56,9.5,8133,4,44
56,11,8505,1,44
56,11.5,7910,1,44
56,11.5,7953,1,44
56,11.5,7999,1,44
56,11.5,8223,1,44
56,11.5,8361,1,44
56,11.5,8962,1,44
57,8,8044,1,49
57,9.5,8044,1,49
57,11.5,7910,1,49
57,11.5,8085,1,49
57,11.5,8176,1,49
57,11.5,8223,1,49
58,8,8223,1,50
58,8,8597,1,50
58,8.5,8827,2,50
58,9.5,8457,1,50
58,9.5,8643,1,50
58,9.5,8688,1,50
59,7.5,8266,1,45
59,9,8176,1,45
59,9.5,8085,1,45
59,9.5,8312,1,45
59,10,8361,2,45
59,10,8505,1,45
59,10.5,8223,1,45
59,10.5,8407,1,45
59,11,8223,1,45
59,11,8643,2,45
59,11,8827,1,45
59,12,7999,1,45
59,12,8917,1,45
60,9.5,8407,1,72.5
61,7,8688,1,45
61,11.5,8085,2,45
61,11.5,8223,1,45
63,8,8827,1,60.5
63,11.5,7953,1,60.5
63,11.5,8643,1,60.5
64,8,8872,1,53.5
64,8.5,8407,1,53.5
64,11,8734,1,53.5
65,7.5,8827,1,38.99
65,7.5,8872,1,38.99
65,8.5,8266,1,38.99
65,9,7910,1,38.99
65,9,8505,1,38.99
66,8,8133,1,53
66,8.5,8597,1,53
66,9,8223,1,53
66,9.5,7953,1,53
66,9.5,8133,1,53
66,9.5,8223,1,53
66,9.5,8548,2,53
66,9.5,8688,1,53
66,11,7999,1,53
66,11.5,7953,1,53
66,11.5,8407,1,53
66,11.5,8548,2,53
66,12,8266,1,53
67,8,8176,1,43
67,8,8407,1,43
67,9.5,8597,1,43
67,10.5,8457,1,43
67,11,8044,1,43
67,11,8223,1,43
67,11,8688,2,43
67,11.5,8827,1,43
67,11.5,8917,1,43
67,11.5,8998,2,43
67,12,8044,1,43
69,10,8643,1,45
69,10.5,8643,1,45
69,10.5,8917,1,45
70,8.5,8176,1,58
70,10,8223,2,58
70,10,8872,1,58
72,9,8998,1,35.99
72,9.5,8548,1,35.99
72,10,8407,1,35.99
72,10.5,8407,1,35.99
72,10.5,8457,1,35.99
72,10.5,8548,1,35.99
72,10.5,8917,2,35.99
73,8,8872,1,51.5
73,9,8312,1,51.5
73,11,8781,1,51.5
73,11.5,8734,2,51.5
74,8,8223,2,37.99
74,8,8457,1,37.99
74,8,8917,2,37.99
74,8.5,8176,2,37.99
74,8.5,8781,1,37.99
74,8.5,8827,3,37.99
74,9,7953,1,37.99
74,9,8266,1,37.99
74,9,8643,1,37.99
74,9.5,8176,1,37.99
74,9.5,8457,1,37.99
74,9.5,8548,1,37.99
74,10,7953,2,37.99
74,10,8457,1,37.99
74,10.5,8597,2,37.99
74,11.5,8548,1,37.99
74,11.5,8688,1,37.99
75,9.5,7953,1,78.5
75,9.5,8827,1,78.5
75,9.5,8872,1,78.5
75,10,8548,1,78.5
75,11,7999,1,78.5
77,7.5,8457,1,43.5
77,8,7910,1,43.5
77,8,8548,1,43.5
77,9,8085,1,43.5
77,9.5,8597,1,43.5
77,9.5,8781,1,43.5
77,10,8505,1,43.5
77,10.5,8781,1,43.5
77,12,8505,1,43.5
77,12,8688,1,43.5
78,8.5,8597,1,27.5
78,9,8133,1,27.5
78,9,8505,1,27.5
78,10.5,8133,1,27.5
78,10.5,8548,1,27.5
78,12,8266,1,27.5
78,12,8361,1,27.5
78,12,8505,1,27.5
80,11.5,8597,2,38.49
81,9,8266,1,58
81,9.5,8361,1,58
81,10,8688,1,58
81,10,8827,1,58
81,10.5,8223,2,58
81,10.5,8781,2,58
81,10.5,8827,1,58
83,12,8223,2,30.5
83,12,8917,1,30.5
84,9.5,8361,2,40
84,9.5,8917,1,40
84,10,8266,1,40
84,10.5,8407,1,40
84,10.5,8827,1,40
84,10.5,8917,1,40
84,12,8688,2,40
85,7.5,8266,1,36.49
85,8,8827,1,36.49
85,9,7999,1,36.49
85,9.5,8085,1,36.49
85,11.5,8361,1,36.49
85,11.5,8457,1,36.49
85,11.5,8505,1,36.49
86,9,7901,1,7
86,9,8398,1,7
86,9,8774,3,7
86,9.5,8304,1,7
87,9,8909,1,7.5
87,9.5,8304,2,7.5
87,9.5,8447,1,7.5
87,9.5,8680,1,7.5
87,10.5,8124,2,7.5
87,10.5,8213,2,7.5
87,10.5,8636,1,7.5
87,10.5,8817,1,7.5
87,10.5,8862,2,7.5
87,10.5,8909,1,7.5
87,12,8862,1,7.5
88,9,8447,1,8.99
88,9,8496,1,8.99
88,9.5,8034,1,8.99
88,9.5,8398,1,8.99
90,8.5,8351,2,10.49
90,9.5,8636,1,10.49
91,9,8167,1,10.49
91,9,8540,1,10.49
91,9,8817,1,10.49
91,9.5,8540,2,10.49
91,9.5,8909,1,10.49
91,10,7901,2,10.49
91,10,8953,1,10.49
92,9,8589,2,11.49
92,9.5,8258,1,11.49
92,9.5,8447,2,11.49
92,9.5,8589,1,11.49
92,10,7990,1,11.49
92,12,7944,2,11.49
92,12,8124,1,11.49
92,12,8258,1,11.49
92,12,8447,1,11.49
92,12,8636,1,11.49
93,8.5,8817,2,25
93,9,8304,1,25
93,9,8589,1,25
93,9,8817,1,25
93,9.5,7901,1,25
93,9.5,7944,1,25
93,9.5,8398,1,25
93,9.5,8540,1,25
93,10,8034,1,25
93,10,8077,2,25
93,10,8636,1,25
93,10.5,8304,1,25
93,10.5,8447,1,25
93,10.5,8909,2,25
93,11,8398,1,25
93,12,7990,2,25
93,12,8034,1,25
93,12,8304,1,25
93,12,8862,1,25
94,9.5,7990,1,7.5
94,9.5,8077,1,7.5
94,9.5,8817,1,7.5
95,9.5,8258,1,11.49
95,9.5,8725,1,11.49
96,9.5,8351,1,9.99
96,9.5,8447,1,9.99
96,9.5,8636,2,9.99
96,9.5,8817,1,9.99
96,10,8304,2,9.99
96,10,8680,2,9.99
96,10,8953,1,9.99
96,10.5,8258,1,9.99
96,12,8213,2,9.99
96,12,8304,1,9.99
96,12,8774,1,9.99
97,7.5,8636,1,20
97,8.5,8398,2,20
97,8.5,8992,3,20
97,9,8167,2,20
97,9,8213,2,20
97,9,8398,1,20
97,9,8447,1,20
97,9.5,7901,1,20
97,9.5,7944,2,20
97,9.5,8077,2,20
97,9.5,8124,1,20
97,9.5,8258,1,20
97,9.5,8398,1,20
97,9.5,8447,3,20
97,9.5,8636,1,20
97,9.5,8953,1,20
97,10,8167,1,20
97,10,8258,1,20
97,10,8351,1,20
97,10,8589,2,20
97,10,8680,1,20
97,10.5,8034,1,20
97,10.5,8398,2,20
97,10.5,8447,1,20
97,10.5,8589,2,20
97,10.5,8725,1,20
97,10.5,8774,2,20
97,10.5,8862,1,20
97,10.5,8909,1,20
97,11,8258,1,20
97,11,8398,1,20
97,11,8540,2,20
97,11,8636,2,20
97,11,8680,2,20
97,12,8398,1,20
97,12,8447,1,20
97,12,8496,1,20
97,12,8680,1,20
97,12,8862,2,20
98,5.5,8966,1,8.99
98,6.5,7959,1,8.99
98,6.5,8966,1,8.99
99,5.5,8138,1,9.49
99,5.5,8831,1,9.49
99,6,8048,2,9.49
99,6.5,8229,2,9.49
99,6.5,8694,1,9.49
99,7,8005,1,9.49
100,6.5,8271,2,13.5
100,6.5,8603,1,13.5
100,6.5,8877,1,13.5
100,7,8739,1,13.5
100,7,8786,1,13.5
100,7,8831,1,13.5
100,7.5,8649,1,13.5
100,8,7959,1,13.5
100,8,8877,2,13.5
100,9,7959,2,13.5
100,9,8831,1,13.5
100,10,8413,1,13.5
100,10,8554,1,13.5
101,5,8739,2,8
101,5,8923,1,8
101,6.5,8554,1,8
102,8,8787,1,27.5
102,9,8414,1,27.5
102,9.5,8695,1,27.5
102,9.5,8878,1,27.5
102,10,8272,1,27.5
103,6.5,8349,1,45
103,7.5,8443,1,45
103,8.5,8771,1,45
104,7,8554,1,20.5
104,7.5,8366,3,20.5
104,7.5,8649,1,20.5
104,8,8138,2,20.5
104,8.5,8923,1,20.5
104,9,8463,1,20.5
104,9,8966,2,20.5
104,10,8923,2,20.5
105,5.5,7959,1,19.5
105,5.5,8005,1,19.5
105,5.5,8649,1,19.5
105,6,8048,4,19.5
105,6.5,8048,1,19.5
105,6.5,8271,1,19.5
105,6.5,8413,1,19.5
105,6.5,8511,1,19.5
105,7.5,8091,1,19.5
105,7.5,8366,1,19.5
105,7.5,8463,1,19.5
105,7.5,8511,1,19.5
105,7.5,8694,2,19.5
105,8,8091,1,19.5
105,8,8694,1,19.5
105,8.5,8048,1,19.5
105,8.5,8138,1,19.5
105,8.5,8229,1,19.5
105,9,8048,2,19.5
105,9,8271,1,19.5
105,10,8005,1,19.5
105,10,8694,1,19.5
106,6.5,8504,2,23
106,9.5,8084,1,23
106,9.5,8311,2,23
106,10,8222,1,23
106,10,8733,2,23
106,10.5,8043,1,23
106,10.5,8360,1,23
106,10.5,8456,1,23
107,6.5,8871,2,20
107,8,8596,1,20
107,8.5,8360,1,20
107,9.5,8826,1,20
107,10,8222,1,20
107,11,8547,1,20
107,12,8360,2,20
107,12,8642,1,20
108,9,8542,1,10.49
109,8,8091,1,9.99
109,8,8413,1,9.99
109,10,8366,2,9.99
110,6,8091,1,11.99
110,7,8091,1,11.99
110,8,7959,1,11.99
110,10,8413,2,11.99
111,9,8239,1,30.5
111,9,8975,1,30.5
111,9.5,8192,2,30.5
111,10,8192,1,30.5
111,10,8975,1,30.5
111,10.5,8148,1,30.5
111,10.5,8842,2,30.5
111,11.5,8192,1,30.5
111,11.5,8521,1,30.5
112,7,8169,2,6.5
113,9.5,8192,2,45
113,9.5,8703,1,45
113,10,8329,1,45
113,10,8474,2,45
113,10,8613,2,45
113,10,8703,2,45
113,10.5,7925,1,45
113,10.5,8148,1,45
113,10.5,8521,1,45
113,10.5,8565,1,45
113,11,8613,1,45
113,11.5,8148,1,45
113,11.5,8239,1,45
113,11.5,8423,1,45
113,11.5,8521,1,45
113,11.5,8842,1,45
113,11.5,8975,1,45
113,12,8103,1,45
113,12,8239,1,45
113,12,8377,1,45
113,12,8474,1,45
113,12,8521,1,45
113,12,8794,2,45
114,7.5,8786,1,9.99
114,8,7959,1,9.99
114,8,8091,1,9.99
114,8.5,8923,1,9.99
114,9,8366,1,9.99
114,9,8831,2,9.99
114,10,7959,2,9.99
114,10,8603,1,9.99
114,11,8366,1,9.99
115,7,8585,2,11.49
116,8,8502,1,10
117,6.5,8463,1,10.99
117,6.5,8694,1,10.99
117,6.5,8831,1,10.99
117,6.5,8923,1,10.99
117,7.5,8786,1,10.99
117,7.5,8831,1,10.99
118,5.5,8603,2,10.99
118,6,8694,1,10.99
118,7,8138,1,10.99
119,7,8639,2,23
119,9.5,7905,1,23
119,9.5,8081,1,23
119,9.5,8218,1,23
119,10,8039,1,23
119,10,8218,1,23
119,10,8501,1,23
119,10,8593,1,23
120,7,8493,2,10.99
120,11,7986,1,10.99
121,9,8299,1,20.5
121,9,8585,1,20.5
122,6,8786,1,16.5
122,6.5,8182,2,16.5
122,6.5,9002,2,16.5
122,7,8463,1,16.5
122,7.5,8739,2,16.5
122,8,8005,1,16.5
122,8,8091,2,16.5
122,8.5,8138,2,16.5
122,8.5,8229,1,16.5
122,8.5,8463,1,16.5
122,8.5,8694,1,16.5
122,9,7915,2,16.5
122,10,8138,1,16.5
122,10,8649,1,16.5
123,5,8649,1,11.99
123,6,8005,1,11.99
123,6,8554,2,11.99
123,6,8739,1,11.99
124,6.5,7915,1,11.49
124,6.5,8511,1,11.49
124,6.5,8554,1,11.49
124,7,8463,1,11.49
125,5.5,8366,2,6
125,5.5,8739,1,6
125,5.5,8877,1,6
125,6,8786,1,6
125,6.5,8271,2,6
127,6.5,7959,1,14
128,5.5,8966,1,5
129,8.5,8827,1,28.5
129,9.5,8133,1,28.5
129,10,8407,1,28.5
129,10.5,8266,2,28.5
129,11,8872,1,28.5
129,11.5,8312,1,28.5
129,11.5,8917,1,28.5
130,6,8366,1,11.49
130,6,8603,1,11.49
130,6.5,8182,2,11.49
130,6.5,8271,1,11.49
130,7,8138,1,11.49
130,7.5,8048,1,11.49
130,7.5,8511,1,11.49
130,7.5,8694,1,11.49
130,7.5,8739,1,11.49
130,7.5,8831,1,11.49
130,8,8786,1,11.49
130,8.5,8463,2,11.49
130,10,7915,2,11.49
131,8.5,7969,1,44
131,8.5,8057,1,44
131,8.5,8474,2,44
131,9,8192,1,44
131,9,8474,1,44
131,9.5,8148,1,44
131,9.5,8192,1,44
131,9.5,8934,1,44
131,10,8474,1,44
131,10,8934,1,44
131,10.5,7925,1,44
131,10.5,8329,1,44
131,10.5,8934,2,44
131,11,8148,1,44
131,11,8886,1,44
131,11.5,7969,1,44
131,11.5,8057,1,44
131,11.5,8103,1,44
131,11.5,8148,1,44
131,11.5,8377,1,44
131,11.5,8423,1,44
131,11.5,8474,1,44
131,11.5,8521,1,44
131,11.5,8659,1,44
131,11.5,8703,2,44
131,11.5,8794,1,44
131,11.5,8842,1,44
131,11.5,9007,1,44
131,12,8103,2,44
131,12,8474,1,44
131,12,8565,1,44
132,9.5,8074,1,60
132,10,8906,1,60
132,10.5,8858,1,60
133,6.5,7938,1,8
134,9,7921,1,12.49
135,7,8541,1,38.99
136,7,8541,2,47.5
136,7.5,8168,1,47.5
136,7.5,8214,1,47.5
136,8,8399,2,47.5
136,8,8541,1,47.5
136,8.5,8214,1,47.5
136,8.5,8497,1,47.5
136,8.5,8681,1,47.5
136,9,7945,1,47.5
136,9,8035,1,47.5
136,9,8590,1,47.5
136,9.5,8035,1,47.5
136,9.5,8352,1,47.5
136,9.5,8399,1,47.5
136,9.5,8497,1,47.5
136,9.5,8726,1,47.5
136,10,7902,1,47.5
136,10,7945,1,47.5
136,10,8168,1,47.5
136,10,8214,1,47.5
136,10,8497,1,47.5
136,10,8637,1,47.5
136,10,8726,1,47.5
136,10,8863,1,47.5
136,10.5,7945,1,47.5
136,10.5,8168,2,47.5
136,10.5,8214,1,47.5
136,10.5,8259,1,47.5
136,10.5,8497,2,47.5
136,10.5,8590,4,47.5
136,10.5,8681,2,47.5
136,10.5,8818,3,47.5
136,11,8078,1,47.5
136,11,8125,1,47.5
136,11,8448,1,47.5
136,11,8497,2,47.5
136,11,8775,2,47.5
136,11,8818,1,47.5
136,11,8863,1,47.5
136,11,8910,1,47.5
136,11,8993,1,47.5
136,11.5,7945,1,47.5
136,11.5,7991,1,47.5
136,11.5,8035,2,47.5
136,11.5,8078,2,47.5
136,11.5,8125,2,47.5
136,11.5,8259,1,47.5
136,11.5,8305,2,47.5
136,11.5,8352,2,47.5
136,11.5,8399,2,47.5
136,11.5,8497,3,47.5
136,11.5,8541,1,47.5
136,11.5,8637,1,47.5
136,11.5,8726,1,47.5
136,11.5,8818,3,47.5
136,11.5,8863,1,47.5
136,11.5,8993,1,47.5
136,12,8637,1,47.5
136,12,8681,1,47.5
136,12,8726,1,47.5
136,12,8775,1,47.5
136,12,8910,1,47.5
137,7,8910,1,37.5
137,8,8214,1,37.5
137,8,8775,2,37.5
137,8,8863,1,37.5
137,8.5,8590,2,37.5
137,9.5,8818,1,37.5
137,10,7945,2,37.5
137,10,8168,2,37.5
137,10.5,8035,2,37.5
137,10.5,8125,2,37.5
137,10.5,8399,1,37.5
137,10.5,8726,1,37.5
137,10.5,8993,1,37.5
137,11,8125,1,37.5
137,11.5,7991,1,37.5
137,11.5,8078,2,37.5
137,11.5,8259,1,37.5
137,11.5,8305,1,37.5
137,11.5,8497,1,37.5
137,11.5,8541,1,37.5
137,11.5,8726,1,37.5
137,12,7991,1,37.5
137,12,8035,2,37.5
137,12,8078,1,37.5
137,12,8352,2,37.5
137,12,8448,1,37.5
137,12,8726,1,37.5
137,12,8818,1,37.5
137,12,8954,2,37.5
138,9,8616,1,12.99
138,9,8845,1,12.99
139,10,8544,2,22.5
139,10.5,8453,2,22.5
139,10.5,8958,1,22.5
139,11,8958,1,22.5
139,11.5,8040,1,22.5
139,11.5,8129,1,22.5
139,11.5,8357,1,22.5
139,11.5,8594,1,22.5
139,12,8640,2,22.5
